date,NAO,ENSO,v,Z_an,VPD_an,SKT_an,TP_an,SM_an,BA
11/9/2014,0.58,-1.5,5.421010212,136.7431,-0.08649045,-0.72874767,-4.622857,0.002133658,9.219303
11/17/2014,0.58,-1.5,1.131541113,94.28079,0.13786928,-0.077443585,-2.2507944,0.003254746,1.3870063
11/25/2014,0.58,-1.5,-2.111439859,-36.910667,0.25717846,0.28257003,-3.7884643,0.003532714,0.8314983
12/3/2014,1.63,-0.9,3.51837855,141.24707,0.2830716,0.078406334,-4.576286,0.002338253,0.45668817
12/11/2014,1.63,-0.9,5.418123523,-146.09381,-0.3220744,-0.40596876,5.845882,-0.001029381,0.36571598
12/19/2014,1.63,-0.9,3.393215768,160.7492,-0.4272084,-0.14947182,12.39836,-0.00148423,0.29283795
12/27/2014,1.63,-0.9,0.846700814,266.212,-0.058856796,-0.3350396,8.157902,-0.000895074,0.6053668
1/1/2015,1.57,-1.4,3.966925485,3.4261005,0.042184982,0.6874988,-0.76822054,-0.001558992,3.7040417
1/9/2015,1.57,-1.4,-4.052885257,283.09482,0.25224525,-0.27418804,0.27524254,-0.000644249,8.203689
1/17/2015,1.57,-1.4,-5.63765523,196.04095,-0.4801776,-0.3761415,-0.18435244,0.000787398,1.5668871
1/25/2015,1.57,-1.4,8.167533755,131.94934,-0.2870902,-0.3348481,-0.29454416,0.003702803,25.423864
2/2/2015,1.05,0.4,3.183188639,70.22243,-0.184657,-0.10096933,-1.1646614,0.005916445,11.629884
2/10/2015,1.05,0.4,5.08454328,176.46501,0.24566177,0.5670434,-1.1379992,0.006430272,50.471947
2/18/2015,1.05,0.4,-5.367408629,-124.822754,-0.1871065,0.7749902,3.48656,0.007696684,82.207535
2/26/2015,1.05,0.4,2.710197253,-311.51926,-1.2730888,-0.55107176,6.168403,0.007101364,82.46977
3/6/2015,1.12,-1.2,2.63281372,-71.476654,-0.7143617,-1.0543779,-0.29537165,0.01258849,77.38117
3/14/2015,1.12,-1.2,4.057794317,84.09676,-1.2360115,-0.59790415,1.5965489,0.015371041,37.26584
3/22/2015,1.12,-1.2,-0.225215194,456.419,-0.16253212,0.43129918,0.009306565,0.014473372,17.899193
3/30/2015,1.12,-1.2,1.103289446,-39.957275,-2.0215616,-0.07929228,4.58612,0.01129424,19.624725
4/7/2015,0.64,-0.1,1.012418382,6.4944,-1.7803335,-0.59206164,2.997234,0.01056943,14.708289
4/15/2015,0.64,-0.1,1.167814613,243.51805,-0.36616936,-0.13718268,5.4787135,0.007933825,8.153122
4/23/2015,0.64,-0.1,-2.283665832,208.26875,-0.84541625,-0.4797506,0.032184016,0.007143485,3.1701841
5/1/2015,0.19,-1.2,-0.132587039,3.0512762,0.91061527,-0.17787148,-8.522255,0.006834439,14.51777
5/9/2015,0.19,-1.2,-2.346246455,37.207497,-1.0288913,0.33484066,2.9935582,-0.001346325,2.7469273
5/17/2015,0.19,-1.2,-1.02906834,48.835335,0.6106064,0.17076093,-0.73599863,-0.004325726,2.7635484
5/25/2015,0.19,-1.2,-0.480844247,62.66776,1.011029,0.04996848,-11.360022,-0.011772312,2.4842784
6/2/2015,0.24,-0.9,0.717591901,87.65586,0.32782578,0.05110102,-3.64435,-0.018858122,1.6779081
6/10/2015,0.24,-0.9,0.080911313,89.21788,-1.0158101,-0.49564785,2.7373886,-0.023023196,0.5601753
6/18/2015,0.24,-0.9,-0.535202473,-32.255943,-0.29183024,-0.18936579,13.82043,-0.025802858,0.16682215
6/26/2015,0.24,-0.9,-1.133550091,-139.78731,0.19294503,-0.1839708,-10.536247,-0.02468504,1.0072453
7/4/2015,-3.14,-1.9,-2.318029099,353.6166,0.59807116,-0.1692702,-9.640026,-0.019005567,1.7679118
7/12/2015,-3.14,-1.9,1.196521801,143.49982,0.84094536,0.124513365,-5.7346883,-0.016098987,0.6957612
7/20/2015,-3.14,-1.9,-0.47460419,4.4064865,-0.20028667,-0.1360478,5.4181333,-0.01872501,0.7552515
7/28/2015,-3.14,-1.9,0.117333074,58.99099,0.3202001,0.07812176,-3.85269,-0.018596008,0.8326951
8/5/2015,-1.1,-2.4,-0.868884812,-22.505754,0.21209632,0.038073137,-6.207144,-0.015573045,0.31892538
8/13/2015,-1.1,-2.4,1.00345789,194.84418,0.38960633,-0.013604395,-6.4630666,-0.013509636,0.45029938
8/21/2015,-1.1,-2.4,-1.426499256,139.7126,0.3854861,0.08000893,-3.734241,-0.006466854,0.7173294
8/29/2015,-1.1,-2.4,-0.575858937,33.17466,0.33286047,0.0310532,-8.519389,-0.005475192,0.12453182
9/6/2015,-0.49,-2.7,0.809775832,121.11741,1.0298989,0.40067437,-3.497379,-0.004250874,1.5699416
9/14/2015,-0.49,-2.7,0.320509949,77.184044,0.21934082,0.358029,8.752119,-0.00353724,2.1523852
9/22/2015,-0.49,-2.7,2.255077477,-37.063423,0.107027635,-0.026677458,-1.4250734,-0.001992566,1.9280654
9/30/2015,-0.49,-2.7,2.431653357,345.77176,0.8877424,0.54767096,1.193387,-0.002008084,6.4151993
10/8/2015,0.99,-2.8,-0.290598543,178.74419,0.7844338,0.96824855,-1.6649123,-0.001949234,122.543816
10/16/2015,0.99,-2.8,0.499140278,242.49855,0.43154478,1.0488564,-9.902971,-0.002094074,10.586472
10/24/2015,0.99,-2.8,-0.144429059,5.285794,-0.15661046,0.572194,10.534575,-0.005119522,13.367212
11/1/2015,1.7,-0.8,1.686852845,136.81358,-0.5107933,0.43291095,7.833762,-0.005198224,21.966255
11/9/2015,1.7,-0.8,0.533014411,-60.092636,-0.1650382,0.78178155,6.3486395,-0.002694384,9.760833
11/17/2015,1.7,-0.8,-1.619854249,31.77215,0.21458957,1.0671138,0.14415243,0.002179214,1.5759941
11/25/2015,1.7,-0.8,3.258878821,186.84782,0.008125565,1.0260465,4.894044,0.006208489,0.8348384
12/3/2015,1.99,-0.9,-5.153455174,241.9281,-0.20306425,1.0472714,7.41198,0.007005017,0.5092537
12/11/2015,1.99,-0.9,-2.025072403,-268.167,-0.15244874,-0.5427173,-0.25962675,0.005115002,0.3784006
